,title,feed_type,link,description,date,image,publisher,stocks,_id,target,combined,Aspects1,Aspects2
0,"Stocks to Watch: ONGC, Tata Steel, HCL Tech, LTIMindtree, Mazagon Dock, and Others - News18",news-article,https://www.news18.com/business/markets/stocks-to-watch-ongc-tata-steel-hcl-tech-ltimindtree-mazagon-dock-and-others-8568487.html,"Stocks to watch: Shares of firms like ONGC, Tata Steel, HCL Tech, LTIMindtree, Mazagon Dock, and others will be in focus on Friday’s trade.",2023-09-08 08:38:56.000,https://pocket-image-cache.com/direct?url=http://images.news18.com/ibnlive/uploads/2023/08/untitled-design-2023-08-24t122426.836-169286010516x9.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/news18.png', 'id': 'www.news18.com', 'name': 'News18'}","[{'sid': 'HCLT'}, {'sid': 'ONGC'}, {'sid': 'TISC'}, {'sid': 'MAZ'}]",64fa973641042058c3af8105,ONGC,"Stocks to Watch: ONGC, Tata Steel, HCL Tech, LTIMindtree, Mazagon Dock, and Others - News18 Stocks to watch: Shares of firms like ONGC, Tata Steel, HCL Tech, LTIMindtree, Mazagon Dock, and others will be in focus on Friday’s trade.",Rumors,
1,"Stocks to Watch: Infosys, RIL, ONGC, Tata Motors, Coal India, IDFC First, and Others - News18",news-article,https://www.news18.com/business/markets/stocks-to-watch-infosys-ril-ongc-tata-motors-coal-india-idfc-first-and-others-8562352.html,"Stocks to watch: Shares of firms like Infosys, RIL, ONGC, Tata Motors, Coal India, IDFC First, and others will be in focus on Monday’s trade.",2023-09-04 08:18:32.000,https://pocket-image-cache.com/direct?url=http://images.news18.com/ibnlive/uploads/2023/08/untitled-design-2023-08-24t122426.836-169286010516x9.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/news18.png', 'id': 'www.news18.com', 'name': 'News18'}","[{'sid': 'COAL'}, {'sid': 'IDFC'}, {'sid': 'INFY'}, {'sid': 'ONGC'}, {'sid': 'TAMdv'}, {'sid': 'TAMO'}]",64f54bc7bab5bedfbfadf32f,ONGC,"Stocks to Watch: Infosys, RIL, ONGC, Tata Motors, Coal India, IDFC First, and Others - News18 Stocks to watch: Shares of firms like Infosys, RIL, ONGC, Tata Motors, Coal India, IDFC First, and others will be in focus on Monday’s trade.",Rumors,Price Action
2,ONGC Shares Hit 52-Week High As Gas Prices Hiked,news-article,https://www.bqprime.com/markets/ongc-shares-hit-52-week-high-as-gas-prices-hiked,Gas produced from the nomination fields of ONGC and Oil India Ltd. will have a ceiling of $6.50/mmBtu.,2023-09-01 13:25:41.000,https://pocket-image-cache.com/direct?url=http://gumlet.assettype.com/bloombergquint%2F2017-01%2F631b7806-506c-4642-a108-7e33b0afa091%2FONGC%20Rig.jpg-large?rect=0%2C5%2C1280%2C672&w=1200&auto=format%2Ccompress&ogImage=true,"{'logo': 'https://assets.tickertape.in/images/news-publishers/bloombergquint.png', 'id': 'www.bloombergquint.com', 'name': 'Bloomberg Quint'}","[{'sid': 'OILI'}, {'sid': 'ONGC'}]",64f1813e9ac9f6751594dfb3,ONGC,ONGC Shares Hit 52-Week High As Gas Prices Hiked Gas produced from the nomination fields of ONGC and Oil India Ltd. will have a ceiling of $6.50/mmBtu.,Financial,
3,"Trade Talk | Markets In A Tight Range, Bank Nifty Continues To Consolidate",news-article,https://www.bqprime.com/bq-prime-videos/trade-talk-markets-in-a-tight-range-bank-nifty-continues-to-consolidate,"Trade Talk | Markets In A Tight Range, Bank Nifty Continues To Consolidate Alex and Hiral takes us through key market levels to watch and highlight stocks like ONGC, SBI, Zee Entertainment, Zomato among others #BQLive Alex and Hiral takes us through key market levels to watch and highlight stocks",2023-08-30 11:50:46.000,https://pocket-image-cache.com/direct?url=http://gumlet.assettype.com/bloombergquint%2F2023-08%2F473bdcba-29fb-4298-b5e4-82c8c0bd0173%2FVCJdx1axj__IUTz_Y.?w=1200&auto=format%2Ccompress&ogImage=true,"{'logo': 'https://assets.tickertape.in/images/news-publishers/bloombergquint.png', 'id': 'www.bloombergquint.com', 'name': 'Bloomberg Quint'}","[{'sid': 'ADIL'}, {'sid': 'ONGC'}, {'sid': 'SBI'}, {'sid': 'ZEE'}, {'sid': 'ZOM'}, {'sid': '.NSEBANK'}]",64eec2219ac9f6751594dab6,ONGC,"Trade Talk | Markets In A Tight Range, Bank Nifty Continues To Consolidate Trade Talk | Markets In A Tight Range, Bank Nifty Continues To Consolidate Alex and Hiral takes us through key market levels to watch and highlight stocks like ONGC, SBI, Zee Entertainment, Zomato among others #BQLive Alex and Hiral takes us through key market levels to watch and highlight stocks",Strategy,Price Action
4,"Stocks to Watch: Zomato, ZEE, Airtel, Maruti, Suzlon, ONGC, Central Bank, and Others - News18",news-article,https://www.news18.com/business/markets/stocks-to-watch-zomato-zee-airtel-maruti-suzlon-ongc-central-bank-and-others-8556462.html,"Stocks to watch: Shares of firms like Zomato, ZEE, Airtel, Maruti, Suzlon, ONGC, Central Bank, and others will be in focus on Wednesday’s trade.",2023-08-30 08:35:32.000,https://pocket-image-cache.com/direct?url=http://images.news18.com/ibnlive/uploads/2023/04/equity-invest-gty-168265160016x9.png,"{'logo': 'https://assets.tickertape.in/images/news-publishers/news18.png', 'id': 'www.news18.com', 'name': 'News18'}","[{'sid': 'BRTI'}, {'sid': 'ONGC'}, {'sid': 'ZOM'}]",64eeb4459ac9f6751594da98,ONGC,"Stocks to Watch: Zomato, ZEE, Airtel, Maruti, Suzlon, ONGC, Central Bank, and Others - News18 Stocks to watch: Shares of firms like Zomato, ZEE, Airtel, Maruti, Suzlon, ONGC, Central Bank, and others will be in focus on Wednesday’s trade.",Rumors,
5,"Stock exchanges slap fines on IOC, ONGC, GAIL for failure to meet listing regulations",news-article,https://www.thehindu.com/business/markets/stock-exchanges-slap-fines-on-ioc-ongc-gail-for-failure-to-meet-listing-regulations/article67241180.ece,"Oil and Natural Gas Corporation (ONGC) was slapped a ₹3.36 lakh fine, while Indian Oil Corporation (IOC) was asked to pay ₹5.36 lakh fine.",2023-08-27 20:01:09.000,https://pocket-image-cache.com/direct?url=http://th-i.thgim.com/public/todays-paper/tp-business/jnusmp/article66689695.ece/alternates/LANDSCAPE_1200/SEBI-said-to-be%2BGK0B2FTVC.3.jpg.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/thehindu.png', 'id': 'www.thehindu.com', 'name': 'The Hindu'}","[{'sid': 'GAIL'}, {'sid': 'IOC'}, {'sid': 'ONGC'}]",64eb30e5dbe109a9d4ee4477,ONGC,"Stock exchanges slap fines on IOC, ONGC, GAIL for failure to meet listing regulations Oil and Natural Gas Corporation (ONGC) was slapped a ₹3.36 lakh fine, while Indian Oil Corporation (IOC) was asked to pay ₹5.36 lakh fine.",Legal,Regulatory
6,"Stock Exchanges Slap Fines On IOC, ONGC, GAIL For Failure To Meet Listing Regulations",news-article,https://www.bqprime.com/business/stock-exchanges-slap-fines-on-ioc-ongc-gail-for-failure-to-meet-listing-regulations,The companies were fined for their failure to have the requisite number of independent and women directors.,2023-08-27 13:07:36.000,https://pocket-image-cache.com/direct?url=http://gumlet.assettype.com/bloombergquint%2F2023-08%2Fec29c877-a33b-44c6-8a2c-b99a1fe8ad86%2Fbse_reuters_2.jpg?w=1200&auto=format%2Ccompress&ogImage=true,"{'logo': 'https://assets.tickertape.in/images/news-publishers/bloombergquint.png', 'id': 'www.bloombergquint.com', 'name': 'Bloomberg Quint'}","[{'sid': 'GAIL'}, {'sid': 'IOC'}, {'sid': 'ONGC'}]",64eafed3dbe109a9d4ee4432,ONGC,"Stock Exchanges Slap Fines On IOC, ONGC, GAIL For Failure To Meet Listing Regulations The companies were fined for their failure to have the requisite number of independent and women directors.",Regulatory,Legal
7,"Mid-day Market | Nifty slips below 19,300 on heavy selling, midcap index goes downhill",news-article,https://www.moneycontrol.com/news/business/markets/mid-day-market-nifty-slips-below-19300-on-heavy-selling-midcap-index-goes-downhill-11257331.html,"Despite the selling pressure, Bajaj Auto and Bajaj Finserv, ONGC, Asian Paints, and Tata Motors managed to eke out gains.",2023-08-25 14:01:27.000,https://pocket-image-cache.com/direct?url=http://images.moneycontrol.com/static-mcnews/2023/08/market_volatile-15-770x433.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/moneycontrol.png', 'id': 'www.moneycontrol.com', 'name': 'Moneycontrol'}","[{'sid': 'ASPN'}, {'sid': 'BJFS'}, {'sid': 'BAJA'}, {'sid': 'IDTI'}, {'sid': 'MIRA'}, {'sid': 'ONGC'}, {'sid': 'TAMdv'}, {'sid': 'TAMO'}, {'sid': '.NSEI'}]",64e86b4aef976d312471dd64,ONGC,"Mid-day Market | Nifty slips below 19,300 on heavy selling, midcap index goes downhill Despite the selling pressure, Bajaj Auto and Bajaj Finserv, ONGC, Asian Paints, and Tata Motors managed to eke out gains.",Price Action,
8,Taking Stock: Market squanders opening gains to end near day’s low; IT shines,news-article,https://www.moneycontrol.com/news/business/markets/taking-stock-market-squanders-opening-gains-to-end-near-days-low-it-shines-11251461.html,"Top Nifty losers included Reliance Industries, Grasim Industries, ONGC, Power Grid Corp and JSW Steel, while gainers were BPCL, Asian Paints, IndusInd Bank, Infosys and Britannia Industries",2023-08-24 15:46:07.000,https://pocket-image-cache.com/direct?url=http://images.moneycontrol.com/static-mcnews/2023/08/sensex_nifty_sensexdown-4-770x433.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/moneycontrol.png', 'id': 'www.moneycontrol.com', 'name': 'Moneycontrol'}","[{'sid': 'ASPN'}, {'sid': 'BRIT'}, {'sid': 'BPCL'}, {'sid': 'GRAS'}, {'sid': 'IDTI'}, {'sid': 'INFY'}, {'sid': 'INBK'}, {'sid': 'JSTL'}, {'sid': 'MIRA'}, {'sid': 'ONGC'}, {'sid': 'RELI'}, {'sid': '.NSEI'}]",64e73384ef976d312471d5c2,ONGC,"Taking Stock: Market squanders opening gains to end near day’s low; IT shines Top Nifty losers included Reliance Industries, Grasim Industries, ONGC, Power Grid Corp and JSW Steel, while gainers were BPCL, Asian Paints, IndusInd Bank, Infosys and Britannia Industries",Price Action,Financial
9,Buy ONGC; target of Rs 220: Motilal Oswal,news-article,https://www.moneycontrol.com/news/business/stocks/buy-ongc-target-of-rs-220-motilal-oswal-11242141.html,"Motilal Oswal is bullish on ONGC recommended buy rating on the stock with a target price of Rs 220 in its research report dated August 12, 2023.",2023-08-23 11:41:13.000,https://pocket-image-cache.com/direct?url=http://images.moneycontrol.com/static-mcnews/2023/08/Buy_1280x720_2-770x433.png,"{'logo': 'https://assets.tickertape.in/images/news-publishers/moneycontrol.png', 'id': 'www.moneycontrol.com', 'name': 'Moneycontrol'}","[{'sid': 'MOFS'}, {'sid': 'ONGC'}]",64e5a9ebef976d312471cbd4,ONGC,"Buy ONGC; target of Rs 220: Motilal Oswal Motilal Oswal is bullish on ONGC recommended buy rating on the stock with a target price of Rs 220 in its research report dated August 12, 2023.",Price Action,
10,"ONGC stock flat, overseas arm gets 3-year extension for Vietnam oil block",news-article,https://www.moneycontrol.com/news/business/stocks/ongc-stock-flat-overseas-arm-gets-3-year-extension-from-vietnam-oil-block-11227411.html,"This is the eighth extension for ONGC Videsh, which will continue till June 15, 2026.",2023-08-21 10:18:04.000,https://pocket-image-cache.com/direct?url=http://images.moneycontrol.com/static-mcnews/2018/01/RTSS6XF-770x433.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/moneycontrol.png', 'id': 'www.moneycontrol.com', 'name': 'Moneycontrol'}",[{'sid': 'ONGC'}],64e2f413f2693c46dad4a207,ONGC,"ONGC stock flat, overseas arm gets 3-year extension for Vietnam oil block This is the eighth extension for ONGC Videsh, which will continue till June 15, 2026.",Strategy,Financial
11,Hold Oil and Natural Gas Corporation; target of Rs 190: Sharekhan,news-article,https://www.moneycontrol.com/news/business/stocks/hold-oil-and-natural-gas-corporation-target-of-rs-190-sharekhan-11224221.html,"Sharekhan recommended Hold rating on Oil and Natural Gas Corporation with a target price of Rs 190 in its research report dated August 14, 2023.",2023-08-20 19:14:13.000,https://pocket-image-cache.com/direct?url=http://images.moneycontrol.com/static-mcnews/2023/08/Hold-2-770x433.png,"{'logo': 'https://assets.tickertape.in/images/news-publishers/moneycontrol.png', 'id': 'www.moneycontrol.com', 'name': 'Moneycontrol'}",[{'sid': 'ONGC'}],64e25e3c380b7c7c2d51b944,ONGC,"Hold Oil and Natural Gas Corporation; target of Rs 190: Sharekhan Sharekhan recommended Hold rating on Oil and Natural Gas Corporation with a target price of Rs 190 in its research report dated August 14, 2023.",Price Action,
12,"Meet four determined and driven women in leadership roles in Mumbai Metro, IOC, L&T and ONGC",news-article,https://economictimes.indiatimes.com/news/company/corporate-trends/meet-four-determined-and-driven-women-in-leadership-roles-in-mumbai-metro-ioc-lt-and-ongc/articleshow/102860870.cms,"Experts say when more women occupy critical roles, they will demand systemic improvements that would throw open the gates and make these sectors gender-inclusive.",2023-08-20 16:12:00.000,"https://pocket-image-cache.com/direct?url=http://economictimes.indiatimes.com/thumb/msid-102862642,width-1070,height-580,imgsize-97658,overlay-economictimes/photo.jpg","{'logo': 'https://assets.tickertape.in/images/news-publishers/economictimes.png', 'id': 'economictimes.indiatimes.com', 'name': 'Economic Times'}","[{'sid': 'IOC'}, {'sid': 'LART'}, {'sid': 'ONGC'}]",64e103d0fe5e5e5b7f976688,ONGC,"Meet four determined and driven women in leadership roles in Mumbai Metro, IOC, L&T and ONGC Experts say when more women occupy critical roles, they will demand systemic improvements that would throw open the gates and make these sectors gender-inclusive.",Strategy,
13,Indian energy company ONGC Videsh secures 3-yr extension to explore South China Sea,news-article,https://economictimes.indiatimes.com/industry/energy/oil-gas/indian-energy-company-ongc-videsh-secures-3-yr-extension-to-explore-south-china-sea/articleshow/102861986.cms,India has sparred diplomatically with China in the past over its gas and oil exploration block off the coast of Vietnam. China claims virtually the entire mineral-rich South China Sea and has stepped up its military presence there. Part of block 128 is in the U-shaped “nine-dash line” which marks th…,2023-08-19 21:11:00.000,"https://pocket-image-cache.com/direct?url=http://economictimes.indiatimes.com/thumb/msid-102862005,width-1070,height-580,imgsize-57004,overlay-economictimes/photo.jpg","{'logo': 'https://assets.tickertape.in/images/news-publishers/economictimes.png', 'id': 'economictimes.indiatimes.com', 'name': 'Economic Times'}",[{'sid': 'ONGC'}],64e0e7b0fe5e5e5b7f9765f8,ONGC,Indian energy company ONGC Videsh secures 3-yr extension to explore South China Sea India has sparred diplomatically with China in the past over its gas and oil exploration block off the coast of Vietnam. China claims virtually the entire mineral-rich South China Sea and has stepped up its military presence there. Part of block 128 is in the U-shaped “nine-dash line” which marks th…,Strategy,Price Action
